categoria,nom_video,codificador,platform,mida_sortida_mb,temps_total_sec,io_read_mb
sport,waterpolo_italy_croatia.yuv,VVC,android,7.75,3018.88,22388.1
timelapse,30days.yuv,VVC,windows,3.00684,818.11,5.14123
timelapse,30days.yuv,VVC,android,3,2054.81,2269.69
timelapse,7pm_7am_night_sky.yuv,VVC,windows,6.05302,742.98,5.14172
timelapse,7pm_7am_night_sky.yuv,VVC,android,6.04,1844.5,4503.12
timelapse,bariloche.yuv,VVC,windows,5.62574,1215.8,5.1422
timelapse,bariloche.yuv,VVC,android,5.62,3403.11,6737.11
timelapse,beautiful_sunrise.yuv,VVC,windows,0.880217,394.84,5.14269
timelapse,beautiful_sunrise.yuv,VVC,android,0.87,1181.61,8974.3
timelapse,huntington.yuv,VVC,windows,8.45649,1131.22,5.14317
timelapse,huntington.yuv,VVC,android,8.45,2851.33,11204
timelapse,kuala_lumpur.yuv,VVC,windows,4.60379,848.07,5.14366
timelapse,kuala_lumpur.yuv,VVC,android,4.59,2167.35,13436.7
timelapse,milky_way.yuv,VVC,windows,4.94905,586.42,5.14415
timelapse,milky_way.yuv,VVC,android,4.94,1404.71,15673.2
timelapse,residential_building.yuv,VVC,windows,7.74659,1010.02,5.14463
timelapse,residential_building.yuv,VVC,android,7.74,2392.97,17901.2
timelapse,stanislaus.yuv,VVC,windows,1.58247,518.35,5.14512
timelapse,stanislaus.yuv,VVC,android,1.57,1269.48,20135.4
timelapse,sunrise_sunset.yuv,VVC,windows,1.12506,415.22,5.14561
timelapse,sunrise_sunset.yuv,VVC,android,1.12,1257.58,22363.2
videoclip,ed_sheeran-shape_of_you.yuv,VVC,windows,1.5245,442.94,5.14361
videoclip,ed_sheeran-shape_of_you.yuv,VVC,android,1.52,904.569,2266.48
videoclip,justin_bieber-sorry.yuv,VVC,windows,2.49087,672.06,5.1441
videoclip,justin_bieber-sorry.yuv,VVC,android,2.48,1695.47,4501.92
videoclip,katy_perry-roar.yuv,VVC,windows,3.99047,754.81,5.14459
videoclip,katy_perry-roar.yuv,VVC,android,3.98,1912.66,6735.34
videoclip,luis_fonsi-despacito.yuv,VVC,windows,5.35269,747.58,5.14507
videoclip,luis_fonsi-despacito.yuv,VVC,android,5.35,1876.96,8969.54
videoclip,mark_ronson-uptown_funk.yuv,VVC,windows,2.73192,552.74,5.14556
videoclip,mark_ronson-uptown_funk.yuv,VVC,android,2.72,1795.27,11203.6
videoclip,maroon5-sugar.yuv,VVC,windows,3.29,642.38,5.14604
videoclip,maroon5-sugar.yuv,VVC,android,3.28,1715.76,13437.6
videoclip,one_republic-counting_stars.yuv,VVC,windows,1.37097,453.64,5.14653
videoclip,one_republic-counting_stars.yuv,VVC,android,1.36,1292.95,15671.4
videoclip,psy-gangnam_style.yuv,VVC,windows,3.02388,710.7,5.14702
videoclip,psy-gangnam_style.yuv,VVC,android,3.01,1806.26,17904.4
videoclip,waka_waka.yuv,VVC,windows,4.07938,743.88,5.1475
videoclip,waka_waka.yuv,VVC,android,4.07,2117.31,20144.2
videoclip,wiz_khalifa-see_you_again.yuv,VVC,windows,1.19829,399.19,5.14799
videoclip,wiz_khalifa-see_you_again.yuv,VVC,android,1.19,1112.77,22378.5
videogame,ballad_of_antara.yuv,VVC,windows,6.79617,963.34,5.14123
videogame,ballad_of_antara.yuv,VVC,android,6.79,2362.62,2285.71
videogame,cyberpunk_2077.yuv,VVC,windows,3.64713,863.19,5.14171
videogame,cyberpunk_2077.yuv,VVC,android,3.64,2062.29,4521.48
videogame,doom_the_dark_ages.yuv,VVC,windows,3.66976,780.57,5.1422
videogame,doom_the_dark_ages.yuv,VVC,android,3.66,2075.58,6757.88
videogame,fc25.yuv,VVC,windows,2.87587,987.45,5.14269
videogame,fc25.yuv,VVC,android,2.87,1911.61,8991.18
videogame,fortnite.yuv,VVC,windows,3.57839,1108.31,5.14317
videogame,fortnite.yuv,VVC,android,3.57,1869.23,11227.1
videogame,mario_kart.yuv,VVC,windows,5.65629,1268.39,5.14366
videogame,mario_kart.yuv,VVC,android,5.65,2610.16,13463.4
videogame,nfs.yuv,VVC,windows,3.82707,686.56,5.14415
videogame,nfs.yuv,VVC,android,3.82,1697.99,15697
videogame,rocket_league.yuv,VVC,windows,7.10641,1120.37,5.14463
videogame,rocket_league.yuv,VVC,android,7.09,2611.41,17930.8
videogame,the_last_of_us_2.yuv,VVC,windows,4.86701,784.07,5.14512
videogame,the_last_of_us_2.yuv,VVC,android,4.86,1750,20166.2
videogame,tides_of_annihilation.yuv,VVC,windows,3.76158,711.52,5.14561
videogame,tides_of_annihilation.yuv,VVC,android,3.75,1743.3,22399.9
